ntree,maxnodes,nodesize,mtry,accTa,accTe
80,1000,2,1,0.95302,0.89074
90,1000,2,1,0.95338,0.89136
100,1000,2,1,0.95302,0.89116
110,1000,2,1,0.9532,0.89177
120,1000,2,1,0.95382,0.89198
130,1000,2,1,0.95338,0.89136
140,1000,2,1,0.95294,0.89239
150,1000,2,1,0.95338,0.89157
160,1000,2,1,0.95329,0.89219
170,1000,2,1,0.95311,0.89157
180,1000,2,1,0.95347,0.89219
190,1000,2,1,0.95347,0.89198
200,1000,2,1,0.954,0.89342
210,1000,2,1,0.95382,0.89281
220,1000,2,1,0.95435,0.89301
230,1000,2,1,0.95426,0.89239
240,1000,2,1,0.95426,0.89342
250,1000,2,1,0.95461,0.89281
260,1000,2,1,0.9547,0.89239
270,1000,2,1,0.95497,0.89322
280,1000,2,1,0.95488,0.89239
290,1000,2,1,0.95541,0.89342
300,1000,2,1,0.95541,0.89198
10,1100,2,1,0.95868,0.88518
20,1100,2,1,0.96327,0.89074
30,1100,2,1,0.96415,0.8959
40,1100,2,1,0.96574,0.89672
50,1100,2,1,0.96636,0.89837
60,1100,2,1,0.96618,0.90126
70,1100,2,1,0.96627,0.90043
80,1100,2,1,0.96689,0.90126
90,1100,2,1,0.966,0.90023
100,1100,2,1,0.96618,0.90353
110,1100,2,1,0.96653,0.90208
120,1100,2,1,0.96662,0.90146
130,1100,2,1,0.96689,0.90188
140,1100,2,1,0.96698,0.90105
150,1100,2,1,0.96715,0.90085
160,1100,2,1,0.9668,0.89981
170,1100,2,1,0.96689,0.89981
180,1100,2,1,0.96671,0.90043
190,1100,2,1,0.96706,0.90167
200,1100,2,1,0.96698,0.89981
210,1100,2,1,0.9668,0.89981
220,1100,2,1,0.96671,0.90085
230,1100,2,1,0.96671,0.90105
240,1100,2,1,0.96706,0.90208
250,1100,2,1,0.96715,0.90249
260,1100,2,1,0.96751,0.90311
270,1100,2,1,0.96751,0.90249
280,1100,2,1,0.96751,0.90332
290,1100,2,1,0.96751,0.90353
300,1100,2,1,0.96777,0.90353
10,1200,2,1,0.97192,0.89445
20,1200,2,1,0.97307,0.90167
30,1200,2,1,0.97316,0.9027
40,1200,2,1,0.97386,0.90353
50,1200,2,1,0.9743,0.90394
60,1200,2,1,0.97519,0.90559
70,1200,2,1,0.97589,0.90703
80,1200,2,1,0.97563,0.906
90,1200,2,1,0.97519,0.90579
100,1200,2,1,0.97501,0.90517
110,1200,2,1,0.97501,0.90579
120,1200,2,1,0.97554,0.90559
130,1200,2,1,0.97545,0.90662
140,1200,2,1,0.97545,0.90682
150,1200,2,1,0.97572,0.90682
160,1200,2,1,0.97545,0.90724
170,1200,2,1,0.97581,0.90724
180,1200,2,1,0.97528,0.90868
190,1200,2,1,0.9751,0.90868
200,1200,2,1,0.97519,0.90744
210,1200,2,1,0.97519,0.90765
220,1200,2,1,0.97545,0.90682
230,1200,2,1,0.97545,0.90682
240,1200,2,1,0.97572,0.90785
250,1200,2,1,0.97563,0.90724
260,1200,2,1,0.97581,0.90806
270,1200,2,1,0.97563,0.90806
280,1200,2,1,0.97519,0.90785
290,1200,2,1,0.97528,0.90806
300,1200,2,1,0.97536,0.90868
10,1300,2,1,0.97792,0.89528
20,1300,2,1,0.98146,0.90167
30,1300,2,1,0.98305,0.90806
40,1300,2,1,0.98437,0.9062
50,1300,2,1,0.98384,0.90682
60,1300,2,1,0.98402,0.90641
70,1300,2,1,0.98402,0.90971
80,1300,2,1,0.98393,0.90888
90,1300,2,1,0.98437,0.90868
100,1300,2,1,0.98437,0.9095
110,1300,2,1,0.98455,0.90868
120,1300,2,1,0.98455,0.90847
130,1300,2,1,0.98481,0.90992
140,1300,2,1,0.98464,0.91012
150,1300,2,1,0.98446,0.9093
160,1300,2,1,0.98437,0.91012
170,1300,2,1,0.98446,0.91136
180,1300,2,1,0.98455,0.91074
190,1300,2,1,0.98455,0.91033
200,1300,2,1,0.98464,0.91156
210,1300,2,1,0.98464,0.91156
220,1300,2,1,0.98464,0.91053
230,1300,2,1,0.98464,0.91115
240,1300,2,1,0.98472,0.90992
250,1300,2,1,0.98472,0.91033
260,1300,2,1,0.98481,0.91053
270,1300,2,1,0.98455,0.90992
280,1300,2,1,0.98464,0.91012
290,1300,2,1,0.98472,0.91074
300,1300,2,1,0.98472,0.90971
10,1400,2,1,0.97784,0.89817
20,1400,2,1,0.98172,0.90641
30,1400,2,1,0.98287,0.90373
40,1400,2,1,0.9834,0.90682
50,1400,2,1,0.98419,0.90847
60,1400,2,1,0.98472,0.90662
70,1400,2,1,0.98499,0.90868
80,1400,2,1,0.98481,0.90806
90,1400,2,1,0.98508,0.91074
100,1400,2,1,0.9849,0.91053
110,1400,2,1,0.98481,0.91095
120,1400,2,1,0.98472,0.91033
130,1400,2,1,0.98481,0.90971
140,1400,2,1,0.98481,0.90909
150,1400,2,1,0.9849,0.90971
160,1400,2,1,0.98472,0.90971
170,1400,2,1,0.98481,0.90992
180,1400,2,1,0.98499,0.90909
190,1400,2,1,0.9849,0.90765
200,1400,2,1,0.9849,0.90847
210,1400,2,1,0.98499,0.90868
220,1400,2,1,0.98499,0.90888
230,1400,2,1,0.9849,0.90847
240,1400,2,1,0.9849,0.90909
250,1400,2,1,0.98481,0.9095
260,1400,2,1,0.98472,0.90806
270,1400,2,1,0.98481,0.90847
280,1400,2,1,0.98472,0.90785
290,1400,2,1,0.98472,0.90765
300,1400,2,1,0.98472,0.90744
10,1500,2,1,0.97784,0.89817
20,1500,2,1,0.98172,0.90641
30,1500,2,1,0.98287,0.90373
40,1500,2,1,0.9834,0.90682
50,1500,2,1,0.98419,0.90847
60,1500,2,1,0.98472,0.90662
70,1500,2,1,0.98499,0.90868
80,1500,2,1,0.98481,0.90806
90,1500,2,1,0.98508,0.91074
100,1500,2,1,0.9849,0.91053
110,1500,2,1,0.98481,0.91095
120,1500,2,1,0.98472,0.91033
130,1500,2,1,0.98481,0.90971
140,1500,2,1,0.98481,0.90909
150,1500,2,1,0.9849,0.90971
160,1500,2,1,0.98472,0.90971
170,1500,2,1,0.98481,0.90992
180,1500,2,1,0.98499,0.90909
190,1500,2,1,0.9849,0.90765
200,1500,2,1,0.9849,0.90847
210,1500,2,1,0.98499,0.90868
220,1500,2,1,0.98499,0.90888
230,1500,2,1,0.9849,0.90847
240,1500,2,1,0.9849,0.90909
250,1500,2,1,0.98481,0.9095
260,1500,2,1,0.98472,0.90806
270,1500,2,1,0.98481,0.90847
280,1500,2,1,0.98472,0.90785
290,1500,2,1,0.98472,0.90765
300,1500,2,1,0.98472,0.90744
10,100,3,1,0.72238,0.718
20,100,3,1,0.73157,0.72686
30,100,3,1,0.73298,0.72769
40,100,3,1,0.73695,0.73284
50,100,3,1,0.73695,0.73408
60,100,3,1,0.73572,0.73119
70,100,3,1,0.73589,0.73119
80,100,3,1,0.73625,0.73263
90,100,3,1,0.7396,0.73655
100,100,3,1,0.7374,0.73366
110,100,3,1,0.73704,0.73181
120,100,3,1,0.7366,0.73304
130,100,3,1,0.73713,0.73181
140,100,3,1,0.73607,0.7314
150,100,3,1,0.73581,0.73078
160,100,3,1,0.73678,0.7314
170,100,3,1,0.73669,0.73119
180,100,3,1,0.73634,0.72975
190,100,3,1,0.73563,0.72954
200,100,3,1,0.73634,0.72913
210,100,3,1,0.73678,0.72913
220,100,3,1,0.73554,0.72933
230,100,3,1,0.73545,0.72851
240,100,3,1,0.73634,0.72913
250,100,3,1,0.7351,0.72975
260,100,3,1,0.73563,0.72954
270,100,3,1,0.73554,0.72954
280,100,3,1,0.73589,0.72913
290,100,3,1,0.73563,0.72913
300,100,3,1,0.73616,0.72933
10,200,3,1,0.76724,0.75572
20,200,3,1,0.7796,0.76706
30,200,3,1,0.78049,0.76397
40,200,3,1,0.78269,0.76768
50,200,3,1,0.78446,0.76933
60,200,3,1,0.78464,0.76871
70,200,3,1,0.78517,0.76974
80,200,3,1,0.78675,0.77221
90,200,3,1,0.78746,0.77242
100,200,3,1,0.78499,0.77077
110,200,3,1,0.7849,0.77201
120,200,3,1,0.78358,0.77139
130,200,3,1,0.78393,0.77036
140,200,3,1,0.78499,0.77036
150,200,3,1,0.78464,0.77036
160,200,3,1,0.78596,0.77221
170,200,3,1,0.78446,0.77056
180,200,3,1,0.78543,0.77242
190,200,3,1,0.78543,0.7718
200,200,3,1,0.78561,0.77324
210,200,3,1,0.78525,0.77304
220,200,3,1,0.78393,0.77242
230,200,3,1,0.78393,0.77139
240,200,3,1,0.78437,0.77304
250,200,3,1,0.78437,0.77118
260,200,3,1,0.78446,0.77201
270,200,3,1,0.78464,0.77118
280,200,3,1,0.78419,0.76974
290,200,3,1,0.78455,0.77036
300,200,3,1,0.78411,0.76994
10,300,3,1,0.80256,0.78005
20,300,3,1,0.81563,0.79221
30,300,3,1,0.81598,0.78788
40,300,3,1,0.81669,0.78932
50,300,3,1,0.81863,0.792
60,300,3,1,0.81563,0.79159
70,300,3,1,0.81748,0.79283
80,300,3,1,0.81863,0.79159
90,300,3,1,0.82102,0.79241
100,300,3,1,0.8204,0.79221
110,300,3,1,0.82128,0.79448
120,300,3,1,0.82013,0.79386
130,300,3,1,0.81969,0.79303
140,300,3,1,0.81872,0.79283
